Code,Name,Symptoms,Treatments
110,Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Antibiotics (oral or intravenous) to treat the underlying bacterial infection, pain relievers (such as acetaminophen or ibuprofen) for pain and fever, ear drops (if there is drainage from the ear), surgical intervention (in severe or chronic cases), such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear), supportive care (rest, hydration, warm compresses)"
111,Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases"
112,Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Medications to relieve symptoms and improve heart function (such as beta-blockers, calcium channel blockers, and disopyramide), medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs), medications to reduce blood clotting (such as aspirin or anticoagulants), implantable cardioverter-defibrillator (ICD) placement (to monitor and correct abnormal heart rhythms), septal myectomy (surgical removal of a portion of the thickened heart muscle), alcohol septal ablation (destruction of excess heart muscle with alcohol injection), lifestyle modifications (such as avoiding strenuous activities, managing stress, and maintaining a healthy weight), regular follow-up visits with a cardiologist"
113,Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional"
114,Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as LASIK or PRK) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)"
115,Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management"
116,Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)"
117,Achalasia,Difficulty swallowing,"Balloon dilation, surgery, medication"
118,Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound","Medications, surgical intervention, hearing aids"
119,Abdominal Hernia,"Visible bulge or swelling, discomfort or pain","Watchful waiting, hernia truss, surgical repair, lifestyle changes"
120,Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety","Behavioral therapy, counseling, support groups, medication, detoxification"
121,Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","Antifungal medication (e.g., Amphotericin B, Fluconazole), supportive care"
122,Obesity,"Excessive body weight, increased risk of chronic conditions","Antifungal medication eg  Amphotericin B, Fluconazole, supportive care"
123,Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste","Lifestyle changes (e.g., dietary modifications, stress reduction), over-the-counter antacids, medication, therapy"
124,Bursitis,"Joint pain, swelling, tenderness, limited range of motion","Rest, ice, compression, elevation (RICE therapy), pain relievers, physical therapy, steroid injections"
125,Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials"
126,Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes"
127,Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Medications (NSAIDs, DMARDs), physical therapy, occupational therapy, exercise, assistive devices"
128,Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag"
129,Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)"
130,Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea","Eyeglasses, contact lenses, refractive surgery (LASIK, PRK), orthokeratology, toric intraocular lenses"
131,Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement"
132,Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Antibiotics, drainage (chest tube insertion, thoracentesis), surgical intervention (decortication), supportive care, treatment of underlying cause"
133,Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear","Hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations"
134,Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine","Phototherapy, exchange transfusion (in severe cases), monitoring of bilirubin levels, addressing underlying causes (e.g., breastfeeding)"
135,Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Closed reduction (realigning the bones without surgery), immobilization (splint or cast), physical therapy, pain management, surgical intervention (in complex or recurrent cases)"
136,Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Medications (pain relievers, muscle relaxants), physical therapy, exercise, posture improvement, heat or cold therapy, spinal injections, surgery (in severe cases or if conservative treatments fail)"
137,Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Symptomatic relief (pain relievers, throat lozenges, mouth rinses), rest, fluids, maintaining good oral hygiene, avoiding spicy or acidic foods"
138,Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications"
139,Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Cleaning and irrigation of the wound, antibiotic therapy (oral or intravenous), wound dressings, wound debridement (if necessary), tetanus prophylaxis"
140,Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","Increasing protein intake through diet (lean meats, fish, dairy, legumes, nuts), protein supplements, nutritional counseling, addressing underlying causes (e.g., malabsorption)"
141,Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","Identifying and treating underlying causes (e.g., medication adjustments, metabolic imbalances), medications (anti-seizure drugs, tranquilizers), physical therapy, supportive care"
142,Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","Nonsteroidal anti-inflammatory drugs (NSAIDs), orthotic devices, physical therapy, stretching exercises, shoe modifications, corticosteroid injections, surgical removal (in severe cases)"
143,Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool","Desmopressin (DDAVP) medication, replacement therapy with von Willebrand factor (VWF) concentrate or cryoprecipitate, oral contraceptives (for women with heavy menstrual bleeding), avoiding certain medications, dental care precautions, regular medical follow-up"
144,Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Medications (such as beta-blockers, calcium channel blockers), pacemaker implantation (in severe cases or symptomatic heart block), underlying condition management"
145,Colonic Polyp,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.","Polypectomy (removal of polyp during colonoscopy), surveillance colonoscopy (regular monitoring for recurrence or new polyps), lifestyle modifications (healthy diet, regular exercise, smoking cessation), follow-up based on pathology findings"
146,Hypospadias,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination","Surgical repair (hypospadias repair surgery), hormone therapy (in some cases), counseling and support for the child and family"
147,Magnesium Deficiency,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Dietary changes (consuming magnesium-rich foods), oral magnesium supplements, intravenous magnesium therapy (in severe cases), addressing underlying causes (e.g., malabsorption), medical supervision and monitoring"
148,Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other","Fertility testing and evaluation (hormone tests, imaging, genetic screening), lifestyle modifications (healthy diet, regular exercise, stress reduction), fertility treatments (assisted reproductive technologies, fertility medications)"
149,Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when NSAIDs are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)"
150,Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity","Behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (IEPs) for academic support, accommodations and modifications in school, psychoeducation, counseling"
151,Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","High-dose corticosteroids, plasma exchange (to remove antibodies from the blood), immunosuppressive therapy (such as azathioprine or rituximab), supportive care to manage symptoms, physical therapy or rehabilitation for functional recovery"
152,Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist"
153,Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Nonsteroidal anti-inflammatory drugs (NSAIDs), pain relievers, local heat or ice application, avoiding activities that worsen symptoms, supportive measures (such as wearing loose clothing or using supportive pillows), physical therapy (to improve posture and strengthen muscles), corticosteroid injections (in some cases), stress reduction techniques"
154,Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions."
155,Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)"
156,Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques"
157,Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments"
158,Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management"
159,Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)"
160,Lice,Itching and visible presence of lice or nits (eggs) in the hair,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies"
161,Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment"
162,Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)"
163,Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)"
164,Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)"
165,Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries"
166,Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support"
167,Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care"
168,Bladder Disorder,"Frequent urination, urgency, pelvic pain","Medications, bladder training, lifestyle changes"
169,Chorioretinitis,"Eye pain, blurred vision, sensitivity to light","Antiviral medications, corticosteroids, eye drops"
170,Priapism,"Persistent, painful erection","Medical intervention (aspiration, medication, surgery)"
171,Myositis,"Muscle weakness, pain, inflammation","Medications (corticosteroids, immunosuppressants), physical therapy"
172,Mononucleosis,"Fatigue, sore throat, swollen lymph nodes","Rest, pain relievers, fluids, symptom management"
173,Neuralgia,"Sharp, shooting pain along the affected nerve","Medications (pain relievers, anticonvulsants), nerve blocks"
174,Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts","Symptom management, blood pressure control, dialysis"
175,Bipolar Disorder,"Mood swings, manic episodes, depressive episodes","Medications (mood stabilizers, antipsychotics), therapy"
176,Amyloidosis,"Fatigue, weight loss, organ dysfunction",Treatment depends on the type and extent of organ damage
177,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs","Immunoglobulin therapy, corticosteroids, physical therapy"
178,Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain","Lifestyle changes, medications (antacids, proton pump inhibitors)"
179,Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain","Observation, laser treatment, vitrectomy (in severe cases)"
180,Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms","Immediate medical attention, supportive care, antidote administration"
181,Scleroderma,"Thickening of the skin, Raynaud's phenomenon","Medications (immunosuppressants), therapy, symptom management"
182,Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking","Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)"
183,Hypoglycemia,"Shaking, dizziness, confusion, sweating","Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage"
184,Idiopathic Absence of Menstruation,Lack of menstrual periods,"Evaluation to determine underlying cause, hormone therapy"
185,Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight","Reduction (realigning the bones), immobilization, rehab"
186,Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion","Fresh air, oxygen therapy, immediate medical attention"
187,Panic Attack,"Chest pain, shortness of breath, palpitations","Breathing exercises, relaxation techniques, therapy"
188,Plantar Fasciitis,"Heel pain, tenderness, difficulty walking","Rest, stretching exercises, orthotic devices, physiotherapy"
189,Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects","Eyeglasses, contact lenses, refractive surgery"
190,Sedatives Poisoning,"Drowsiness, confusion, slowed breathing","Immediate medical attention, supportive care, antidote administration"
191,Pemphigus,Painful blisters on the skin and mucous membranes,"Corticosteroids, immunosuppressants, wound care"
192,Peyronie Disease,"Curvature of the penis, pain during erections","Medications, traction therapy, surgery"
193,Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing","Lifestyle changes, medications (antacids, proton pump inhibitors)"
194,Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements","Adjusting medication dosage, switching to alternative medications"
195,Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness","Medications (diuretics, anti-vertigo drugs), lifestyle changes"
196,Anal Fissure,"Pain during bowel movements, rectal bleeding","Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)"
197,Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections","Antibiotics, ear drops, surgical intervention (in some cases)"
198,Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)",Surgery to remove the affected part of the colon (pull-through procedure)
199,Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","Low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs)"
200,Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness","Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)"
201,Bladder Cancer,"Blood in urine, frequent urination, pelvic pain","Surgery, chemotherapy, radiation therapy"
202,Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)"
203,Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights","Medications (eye drops), laser therapy, surgery (in some cases)"
204,Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","Manual reduction, immobilization, physical therapy"
205,Sciatica,Pain radiating from the lower back to the leg,"Pain medications, physical therapy, stretching exercises"
206,Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones","Treating underlying cause, hydration, medications"
207,Stress Incontinence,Unintentional urine leakage during physical activity,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)"
208,Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination","Observation, medication (if needed), surgery (in rare cases)"
209,Hydrocele of the Testicle,Swelling of the scrotum,"Observation, surgical drainage (in some cases)"
210,Hirsutism,Excessive hair growth in women,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes"
211,Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen","Treating underlying cause, medications, ureteral stent, surgery"
212,Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","High-fiber diet, medications (pain relievers, antibiotics)"
213,Pain after an Operation,"Surgical site pain, discomfort, swelling","Pain medications, ice packs, rest, wound care"
214,Huntington Disease,"Motor, cognitive, and psychiatric symptoms","Supportive care, medications (to manage symptoms), therapy"
215,West Nile Virus,"Fever, headache, body aches, rash","Supportive care, symptom management, prevention of mosquito bites"
216,Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue","Chemotherapy, radiation therapy, immunotherapy, targeted therapy"
217,Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Topical corticosteroids, moisturizers, avoiding sun exposure"
218,Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin","Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)"
219,Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction","Immediate medical attention, diagnostic tests, surgery (in some cases)"
220,Scleritis,"Eye redness, severe eye pain, blurred vision","Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants"
221,Pterygium,Growth on the conjunctiva (white part of the eye),"Artificial tears, eye lubricants, surgical removal (in severe cases)"
222,Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Antifungal creams, powders, or oral medications, proper hygiene and skin care"
223,Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen"
224,Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels","Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance"
225,Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability","Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy"
226,Orbital Cellulitis,"Eye pain, swelling, redness, vision changes","Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)"
227,Injury to the Leg,"Pain, swelling, bruising, difficulty walking","R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy"
228,Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Treating underlying liver disease, medications to manage symptoms, dietary modifications"
229,Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","Surgery, chemotherapy, radiation therapy, targeted therapy"
230,Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)"
231,Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","Antiparasitic medications, medications to manage symptoms, supportive care"
232,Syringomyelia,"Muscle weakness, loss of sensation, chronic pain","Surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques"
233,Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue","Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation"
234,Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","Medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)"
235,Parkinson Disease,"Tremors, stiffness, slowness of movement","Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation"
236,Gout,"Intense joint pain, swelling, redness","Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes"
237,Otitis Media,"Ear pain, fever, fluid drainage from the ear","Antibiotics (if bacterial infection), pain relievers, observation (in some cases)"
238,Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)"
239,Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion","Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)"
240,Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)"
241,Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain","Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy"
242,Intracranial Abscess,"Headache, fever, neurological deficits","Antibiotics, surgical drainage or removal of the abscess, supportive care"
243,Gum Disease,"Swollen, red, tender gums, bleeding gums","Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions"
244,Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound","Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions"
245,Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools","Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding"
246,Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Topical antifungal creams or ointments, medicated shampoos, corticosteroid creams"
247,Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)"
248,Torticollis,"Neck pain, stiffness, and abnormal head positioning","Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)"
249,Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Immediate medical attention, activated charcoal administration, supportive care, specific antidotes"
